Year,Series,Industry sector,Observation status,Unit multiplier,Unit measure,Value
2020,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.43
2020,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),2.58
2020,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
2020,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2020,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.05
2020,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),0.79
2020,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.09
2020,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2020,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2020,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2020,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2020,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2020,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.04
2020,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2020,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2020,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2020,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2020,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2021,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.15
2021,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Provisional value,Thousands,Tonnes per million GBP (£),0.68
2021,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Provisional value,Thousands,Tonnes per million GBP (£),1.02
2021,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Provisional value,Thousands,Tonnes per million GBP (£),0.43
2021,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Provisional value,Thousands,Tonnes per million GBP (£),2.73
2021,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Provisional value,Thousands,Tonnes per million GBP (£),0.2
2021,CO2 emission per manufacturing industry per unit of GVA,Construction,Provisional value,Thousands,Tonnes per million GBP (£),0.1
2021,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Provisional value,Thousands,Tonnes per million GBP (£),0.06
2021,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Provisional value,Thousands,Tonnes per million GBP (£),0.76
2021,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Provisional value,Thousands,Tonnes per million GBP (£),0.07
2021,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Provisional value,Thousands,Tonnes per million GBP (£),0.01
2021,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Provisional value,Thousands,Tonnes per million GBP (£),0.0
2021,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Provisional value,Thousands,Tonnes per million GBP (£),0.0
2021,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Provisional value,Thousands,Tonnes per million GBP (£),0.01
2021,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Provisional value,Thousands,Tonnes per million GBP (£),0.03
2021,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Provisional value,Thousands,Tonnes per million GBP (£),0.04
2021,CO2 emission per manufacturing industry per unit of GVA,Education,Provisional value,Thousands,Tonnes per million GBP (£),0.02
2021,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Provisional value,Thousands,Tonnes per million GBP (£),0.02
2021,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Provisional value,Thousands,Tonnes per million GBP (£),0.03
2021,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Provisional value,Thousands,Tonnes per million GBP (£),0.03
2021,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Provisional value,Thousands,Tonnes per million GBP (£),0.01
