Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2018 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.881065377302887
2018 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,10.856273275592738
2018 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.4686909960472567
2018 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.698893121378514
2018 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.333762642208812
2018 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.838930286177232
2018 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.959274940477204
2019 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.018299674829333
2019 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.684027704957039
2019 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.860230071040945
2019 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.460057234272211
2019 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.9828958607238567
2019 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.34441928130544
2019 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.599093970776252
2019 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.838896962570399
2019 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.316420779635878
2001 Q4,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.550918877727412
2001 Q4,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,8.398679592408051
2001 Q4,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.21659569332593
2002 Q1,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.2383020327275
