Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2010,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),10949.3798
2010,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),19095.063788
2011,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),52957.84695
2011,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),9150.550490000001
2011,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),5291.05228
2011,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),4301.267379999999
2011,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),34214.9768
2012,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),6762.36019199999
2012,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),2478.452248
2012,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),8010.12926
2012,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),2923.5878399999997
2012,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),4154.27102
2013,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),4816.1206090000005
2013,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),1752.4272190000002
2013,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),6285.85146
2013,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),1828.73182
2013,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),7520.81302999999
2014,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),1725.978796
2014,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),894.09642
2014,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),6482.33391299999
2014,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),3058.025123
2014,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),6920.283820000001
